"Tipo","Codice", "Titolo", "Anno", "Prezzo", "Autore/Piattaforma/Regista"
"Film","F01", Pulp Fiction, 1994, 24.99, "Quentin Tarantino"
"Film","F02", Interstellar, 2014, 24.99, "Christopher Nolan"
"Film","F03", Parasite, 2019, 24.99, "Bong Joon-ho"
"Libro","L01", Il Nome della Rosa, 1980, 24.99, "Umberto Eco"
"Libro","L02", 1984, 1949, 24.99, "George Orwell"
"Libro","L03", Il Gattopardo, 1958, 24.99, "Giuseppe Tomasi di Lampedusa"
"Videogioco","V01", The Legend of Zelda, 2017, 24.99, "Nintendo Switch"
"Videogioco","V02", Halo, 2001, 24.99, "Xbox"
"Videogioco","V03", God of War, 2018, 24.99, "PlayStation 4"

